Word,Amount
broadband,3576
page,3574
gets,3563
value,3547
later,3541
full,3541
west,3535
five,3531
operations,3517
trying,3511
school,3509
things,3505
risk,3502
run,3488
steven,3484
agreed,3484
soon,3462
close,3461
parties,3450
wireless,3439
recently,3434
legislation,3425
though,3424
chronicle,3419
december,3414
el,3400
distribution,3399
build,3398
tr,3396
media,3390
saying,3384
name,3378
megawatts,3375
intended,3373
limited,3368
needed,3358
air,3350
regarding,3347
bonds,3347
