Rank,Word,Frequency
597,methods,24
598,preservation,24
599,treaty,24
600,terms,24
601,measure,24
602,majority,24
603,improvement,24
604,days,24
605,conscience,24
606,basis,24
607,department,24
608,settled,24
609,wrong,24
610,pay,24
611,difference,24
612,required,24
613,almost,24
614,deeply,24
615,merely,24
616,debt,24
617,expenditures,24
618,afford,23
619,wars,23
620,events,23
621,age,23
622,left,23
623,conflict,23
624,across,23
625,granted,23
626,effective,23
627,seeking,23
628,providence,23
629,defend,23
630,enlightened,23
631,capacity,23
632,indeed,23
633,officers,23
634,perhaps,23
635,chosen,23
636,destruction,23
637,something,23
638,vital,23
639,distinguished,23
640,voice,23
641,currency,23
642,forces,23
643,said,22
644,ours,22
645,rest,22
646,special,22
647,matters,22
648,clearly,22
649,determination,22
650,remember,22
651,failure,22
652,navy,22
653,early,22
654,benefits,22
655,experiment,22
656,himself,22
657,provided,22
658,reform,22
659,fully,22
660,belief,22
661,science,22
662,point,22
663,especially,22
664,firm,22
665,soon,22
666,prosperous,21
667,capital,21
668,washington,21
669,destroy,21
670,choice,21
671,created,21
672,complete,21
673,around,21
674,young,21
675,side,21
676,taxation,21
677,friendship,21
678,needed,21
679,ancient,21
680,express,21
681,sometimes,21
682,deep,21
683,practice,21
684,encourage,21
685,manner,21
686,adequate,21
687,direction,21
688,value,21
689,internal,21
690,difficulties,21
691,build,21
692,encouragement,21
693,able,21
694,attempt,21
695,republican,21
696,leadership,21
697,concern,21
698,strengthen,21
699,understanding,21
700,instead,21
701,continent,20
702,legitimate,20
703,responsible,20
704,real,20
705,lines,20
706,struggle,20
707,virtue,20
708,soil,20
709,provision,20
710,above,20
711,development,20
712,add,20
713,lands,20
714,join,20
715,generous,20
716,vision,20
717,rich,20
718,limited,20
719,causes,20
720,values,20
721,agriculture,20
722,results,20
723,friendly,20
724,army,20
725,increasing,20
726,continued,20
727,era,20
728,consider,20
729,everywhere,20
730,seem,20
731,enter,20
732,surely,20
733,sections,20
734,safe,20
735,forth,20
736,committed,19
737,health,19
738,achieve,19
739,reserved,19
740,taxes,19
741,open,19
742,poverty,19
743,rules,19
744,functions,19
745,representatives,19
746,greatly,19
747,except,19
748,tax,19
749,nearly,19
750,former,19
751,settlement,19
752,depend,19
753,wisely,19
754,various,19
755,intelligence,19
756,energy,19
757,chance,19
758,immediate,19
759,adoption,19
760,confederacy,19
761,burden,19
762,short,19
763,recent,19
764,burdens,19
765,democratic,19
766,sentiment,19
767,difficult,19
768,europe,19
769,living,19
770,amendment,19
771,counsel,19
772,waste,19
773,establish,18
774,protected,18
775,treasury,18
776,branch,18
777,earnest,18
778,birth,18
779,perform,18
780,class,18
781,standards,18
782,permit,18
783,subjects,18
784,claim,18
785,simple,18
786,benefit,18
787,enforce,18
788,enforcement,18
789,prescribed,18
790,least,18
791,assume,18
792,lies,18
793,maintained,18
794,show,18
795,extend,18
796,direct,18
797,path,18
798,suffrage,18
799,strive,18
800,realize,18
801,existing,18
802,conviction,18
803,govern,18
804,execute,18
805,resolve,18
806,brought,18
807,unless,18
808,sure,18
809,crisis,18
810,maintenance,18
811,higher,18
812,peculiar,18
813,official,18
814,enjoy,18
815,products,18
816,remains,18
817,doing,18
818,neighbors,18
819,price,18
820,passion,18
821,source,18
822,advantage,18
823,weak,18
824,productive,17
825,expected,17
826,issue,17
827,carried,17
828,pass,17
829,naval,17
830,places,17
831,coast,17
832,create,17
833,exist,17
834,genius,17
835,liberal,17
836,strengthened,17
837,held,17
838,gratitude,17
839,armed,17
840,appear,17
841,distant,17
842,establishment,17
843,hard,17
844,person,17
845,felt,17
846,satisfaction,17
847,concerns,17
848,reasonable,17
849,sentiments,17
850,second,17
851,challenge,17
852,follow,17
853,understand,17
854,organization,17
855,policies,17
856,modern,17
857,offer,17
858,changes,17
859,respective,17
860,dream,17
861,predecessor,17
862,religion,17
863,commercial,17
864,FALSE,17
865,section,17
866,vice,16
867,restore,16
868,manufactures,16
869,precious,16
870,territories,16
871,entire,16
872,performance,16
873,idea,16
874,connected,16
875,sides,16
876,standing,16
877,proud,16
878,enemies,16
879,accomplished,16
880,construction,16
881,renew,16
882,production,16
883,dangerous,16
884,situation,16
885,consequences,16
886,station,16
887,cherish,16
888,voices,16
889,advancement,16
890,strict,16
891,bonds,16
892,bound,16
893,serious,16
894,declared,16
895,elected,16
896,bless,16
897,engaged,16
898,constantly,16
899,relief,16
900,proved,16
901,increased,16
902,save,16
903,authorities,16
904,shown,16
905,rests,16
906,maintaining,16
907,why,16
908,north,16
909,trial,16
910,practicable,16
911,offices,16
912,pursued,16
913,seems,16
914,event,16
915,term,16
916,privilege,16
917,jurisdiction,16
918,divine,16
919,guidance,16
920,obvious,16
921,balance,16
922,advantages,16
923,pride,16
924,faithfully,15
925,declaration,15
926,decisions,15
927,western,15
928,foundations,15
929,sustained,15
930,reduce,15
931,continuance,15
932,finally,15
933,willing,15
934,requires,15
935,operation,15
936,considered,15
937,built,15
938,ways,15
939,controversies,15
940,profound,15
941,alike,15
942,off,15
943,led,15
944,thank,15
945,ocean,15
946,justly,15
947,journey,15
948,suffering,15
949,wherever,15
950,suffer,15
951,heretofore,15
952,senate,15
953,command,15
954,blood,15
955,minds,15
956,useful,15
957,homes,15
958,receive,15
959,used,15
960,founded,15
961,building,15
962,prayer,15
963,natural,15
964,schools,15
965,discussion,15
966,makes,15
967,unite,15
968,contest,14
969,weapons,14
970,limitations,14
971,successful,14
972,persons,14
973,pursue,14
974,entitled,14
975,promises,14
976,member,14
977,legislature,14
978,partisan,14
979,gods,14
980,grateful,14
981,particular,14
982,realized,14
983,southern,14
984,divided,14
985,liberties,14
986,devoted,14
987,challenges,14
988,followed,14
989,forbearance,14
990,larger,14
991,lasting,14
992,violence,14
993,became,14
994,grant,14
995,instance,14
996,invasion,14
997,depression,14
998,fixed,14
999,relation,14
1000,impossible,14
1001,close,14
1002,european,14
1003,taking,14
1004,eyes,14
1005,born,14
1006,forever,14
1007,directly,14
1008,cases,14
1009,generally,14
1010,scarcely,14
1011,privileges,14
1012,believed,14
1013,intended,14
1014,drawn,14
1015,sectional,14
1016,leading,14
1017,plans,14
1018,adopted,14
1019,answer,14
1020,written,14
1021,court,14
1022,greatness,14
1023,helped,14
1024,separate,14
1025,fundamental,14
1026,supported,14
1027,friend,14
1028,exists,14
1029,mine,14
1030,branches,14
1031,leaders,14
1032,mans,14
1033,actual,14
1034,whilst,14
1035,cheerfully,14
1036,aspirations,14
1037,universal,14
1038,likely,14
1039,late,14
1040,move,14
1041,remedy,14
1042,avoid,14
1043,expenditure,14
1044,session,14
1045,program,14
1046,injustice,13
1047,blessed,13
1048,employed,13
1049,imposed,13
1050,press,13
1051,feelings,13
1052,happily,13
1053,looking,13
1054,difficulty,13
1055,thing,13
1056,republics,13
1057,language,13
1058,stability,13
1059,learn,13
1060,decision,13
1061,amount,13
1062,fate,13
1063,founders,13
1064,abuses,13
1065,observe,13
1066,added,13
1067,depends,13
1068,markets,13
1069,contributed,13
1070,legal,13
1071,prejudices,13
1072,talents,13
1073,rewards,13
1074,disposition,13
1075,tranquillity,13
1076,expressed,13
1077,provisions,13
1078,advanced,13
1079,mighty,13
1080,sincere,13
1081,employment,13
1082,renewed,13
1083,centuries,13
1084,prepared,13
1085,matter,13
1086,enjoyed,13
1087,belongs,13
1088,restoration,13
1089,injury,13
1090,learned,13
1091,narrow,13
1092,predecessors,13
1093,field,13
1094,certainly,13
1095,pledged,13
1096,pacific,13
1097,surplus,13
1098,based,13
1099,sympathy,13
1100,weight,13
1101,prejudice,13
1102,mean,13
1103,consistent,13
1104,dreams,13
1105,bill,13
1106,name,13
1107,stronger,13
1108,humble,13
1109,changed,13
1110,crime,13
1111,next,13
1112,sought,13
1113,aggression,13
1114,recommend,13
1115,appeal,13
1116,road,13
1117,failed,13
1118,promoted,13
1119,negro,13
1120,adopt,13
1121,meaning,13
1122,coming,13
1123,half,13
1124,arise,13
1125,met,13
1126,dark,13
1127,countrys,13
1128,intelligent,12
1129,consent,12
1130,information,12
1131,bold,12
1132,kind,12
1133,declare,12
1134,anxiety,12
1135,proof,12
1136,west,12
1137,loss,12
1138,growing,12
1139,efficient,12
1140,worthy,12
1141,observed,12
1142,problem,12
1143,financial,12
1144,opposed,12
1145,along,12
1146,respects,12
1147,tasks,12
1148,contrary,12
1149,points,12
1150,sea,12
1151,assured,12
1152,threat,12
1153,cultivate,12
1154,division,12
1155,exercised,12
1156,numbers,12
1157,interference,12
1158,understood,12
1159,bind,12
1160,hour,12
1161,formation,12
1162,consciousness,12
1163,mass,12
1164,story,12
1165,bad,12
1166,adapted,12
1167,competent,12
1168,enterprises,12
1169,additional,12
1170,application,12
1171,beloved,12
1172,combinations,12
1173,reached,12
1174,assurance,12
1175,exalted,12
1176,evils,12
1177,strictly,12
1178,ground,12
1179,assure,12
1180,paid,12
1181,raised,12
1182,recognized,12
1183,endure,12
1184,process,12
1185,ideal,12
1186,enforced,12
1187,opportunities,12
1188,supposed,12
1189,officer,12
1190,battle,12
1191,flag,12
1192,celebrate,12
1193,fire,12
1194,begin,12
1195,families,12
1196,according,12
1197,enable,12
1198,solution,12
1199,careful,12
1200,wishes,12
1201,dedication,12
1202,revenues,12
1203,gone,12
1204,preserving,12
1205,elections,12
1206,glory,12
1207,execution,12
1208,ample,12
1209,although,12
1210,zeal,12
1211,services,12
1212,possess,12
1213,globe,12
1214,everything,12
1215,beneficent,12
1216,comfort,12
1217,industries,12
1218,steps,12
1219,sustain,12
1220,fulfillment,12
1221,received,12
1222,role,12
1223,destinies,11
1224,presidential,11
1225,reflect,11
1226,civilized,11
1227,blessing,11
1228,triumph,11
1229,arts,11
1230,opposition,11
1231,favored,11
1232,communism,11
1233,afforded,11
1234,entirely,11
1235,admitted,11
1236,tendency,11
1237,islands,11
1238,acknowledged,11
1239,servants,11
1240,necessities,11
1241,began,11
1242,efficiency,11
1243,intrusted,11
1244,bearing,11
1245,succeed,11
1246,thousands,11
1247,victory,11
1248,judicial,11
1249,inauguration,11
1250,arbitration,11
1251,ties,11
1252,heaven,11
1253,seeks,11
1254,concession,11
1255,armies,11
1256,try,11
1257,recognize,11
1258,permitted,11
1259,ones,11
1260,expansion,11
1261,correct,11
1262,inseparable,11
1263,error,11
1264,lost,11
1265,allies,11
1266,tribunal,11
1267,ignorance,11
1268,institution,11
1269,thereby,11
1270,lot,11
1271,accepted,11
1272,commitment,11
1273,ideas,11
1274,whenever,11
1275,errors,11
1276,effects,11
1277,councils,11
1278,emergency,11
1279,cease,11
1280,noble,11
1281,guaranty,11
1282,decent,11
1283,knowing,11
1284,gives,11
1285,native,11
1286,humbly,11
1287,father,11
1288,directed,11
1289,extraordinary,11
1290,militia,11
1291,attack,11
1292,word,11
1293,house,11
1294,agencies,11
1295,goal,11
1296,interfere,11
1297,heard,11
1298,habits,11
1299,plan,11
1300,confidently,11
1301,turning,11
1302,tyranny,11
1303,representative,11
1304,guide,11
1305,constituted,11
1306,covenant,11
1307,texas,11
1308,courts,11
1309,enlarged,11
1310,statesmen,11
1311,weakness,11
1312,magistrate,11
1313,ordinary,11
1314,kept,11
1315,proceed,11
1316,surrender,11
1317,yes,11
1318,inevitable,11
1319,obedience,11
1320,keeping,11
1321,achievement,11
1322,vigor,11
1323,accomplish,11
1324,play,11
1325,ages,11
1326,elements,11
1327,welcome,11
1328,comes,11
1329,appointment,11
1330,theory,11
1331,heroes,10
1332,virtuous,10
1333,possessed,10
1334,produced,10
1335,politics,10
1336,classes,10
1337,violation,10
1338,working,10
1339,violate,10
1340,sacrifices,10
1341,wants,10
1342,easy,10
1343,march,10
1344,proposed,10
1345,reforms,10
1346,read,10
1347,treaties,10
1348,distinction,10
1349,run,10
1350,calling,10
1351,asked,10
1352,propose,10
1353,gold,10
1354,reliance,10
1355,despotism,10
1356,diversity,10
1357,protecting,10
1358,arduous,10
1359,cities,10
1360,leads,10
1361,broad,10
1362,gave,10
1363,stands,10
1364,activities,10
1365,ultimate,10
1366,entering,10
1367,discord,10
1368,perils,10
1369,behalf,10
1370,shared,10
1371,apprehension,10
1372,motives,10
1373,affecting,10
1374,extension,10
1375,necessarily,10
1376,assembled,10
1377,mode,10
1378,structure,10
1379,employees,10
1380,master,10
1381,step,10
1382,enduring,10
1383,faculties,10
1384,partial,10
1385,sphere,10
1386,strife,10
1387,administer,10
1388,nuclear,10
1389,recovery,10
1390,hundred,10
1391,raise,10
1392,instances,10
1393,break,10
1394,method,10
1395,posterity,10
1396,saw,10
1397,recognition,10
1398,contemplate,10
1399,judge,10
1400,involved,10
1401,punishment,10
1402,claims,10
1403,occurred,10
1404,works,10
1405,deserve,10
1406,final,10
1407,original,10
1408,administered,10
1409,favorable,10
1410,senator,10
1411,british,10
1412,submit,10
1413,profit,10
1414,heritage,10
1415,temporary,10
1416,sources,10
1417,foundation,10
1418,invoke,10
1419,enemy,10
1420,pray,10
1421,toil,10
1422,sovereign,10
1423,ends,10
1424,cherished,10
1425,existed,10
1426,seas,10
1427,ceremony,10
1428,sacredly,10
1429,safely,10
1430,sanction,10
1431,jefferson,10
1432,examples,10
1433,unnecessary,10
1434,address,10
1435,relieve,10
1436,latter,10
1437,hitherto,10
1438,divide,10
1439,interstate,10
1440,inhabitants,10
1441,dare,10
1442,selfish,10
1443,respecting,10
1444,physical,10
1445,rapid,10
1446,deny,10
1447,market,10
1448,governed,10
1449,indispensable,10
1450,mission,10
1451,participation,10
1452,discipline,10
1453,compromise,10
1454,threatened,10
1455,grave,10
1456,calculated,10
1457,hemisphere,10
1458,agricultural,10
1459,test,10
1460,energies,10
1461,truly,10
1462,adjustment,10
1463,organized,10
1464,poor,10
1465,largely,10
1466,suggest,10
1467,encouraging,10
1468,agitation,10
1469,anything,10
1470,marked,10
1471,utmost,10
1472,proposition,10
1473,divisions,10
1474,conscious,10
1475,disregard,9
1476,record,9
1477,commission,9
1478,bestowed,9
1479,promotion,9
1480,discretion,9
1481,assigned,9
1482,absolute,9
1483,promoting,9
1484,honestly,9
1485,facilities,9
1486,anticipated,9
1487,surrendered,9
1488,labors,9
1489,brief,9
1490,fall,9
1491,onward,9
1492,imposes,9
1493,articles,9
1494,compact,9
1495,title,9
1496,fervent,9
1497,denied,9
1498,carrying,9
1499,anew,9
1500,expressly,9
1501,minorities,9
1502,shrink,9
1503,shores,9
1504,management,9
1505,fortifications,9
1506,climate,9
1507,shape,9
1508,extravagance,9
1509,city,9
1510,begun,9
1511,lay,9
1512,plain,9
1513,accountability,9
1514,revolutionary,9
1515,amendments,9
1516,accordance,9
1517,productions,9
1518,agents,9
1519,adherence,9
1520,appears,9
1521,ardent,9
1522,spread,9
1523,ballot,9
1524,forget,9
1525,aided,9
1526,urge,9
1527,dispute,9
1528,fulfill,9
1529,definite,9
1530,slave,9
1531,minority,9
1532,prove,9
1533,plainly,9
1534,debts,9
1535,guided,9
1536,selected,9
1537,length,9
1538,perpetual,9
1539,entertained,9
1540,reject,9
1541,concerned,9
1542,realization,9
1543,properly,9
1544,thoughts,9
1545,solve,9
1546,amity,9
1547,sum,9
1548,steadily,9
1549,motive,9
1550,grown,9
1551,stood,9
1552,white,9
1553,moved,9
1554,prospect,9
1555,acted,9
1556,borne,9
1557,hostile,9
1558,actions,9
1559,pursuit,9
1560,effected,9
1561,assistance,9
1562,concerning,9
1563,becomes,9
1564,wholly,9
1565,current,9
1566,loans,9
1567,rivers,9
1568,considerations,9
1569,confident,9
1570,charged,9
1571,securing,9
1572,witnessed,9
1573,suffered,9
1574,near,9
1575,witness,9
1576,wellbeing,9
1577,enjoyment,9
1578,promptly,9
1579,limit,9
1580,convention,9
1581,daily,9
1582,imperative,9
1583,forgotten,9
1584,speedily,9
1585,attained,9
1586,otherwise,9
1587,resolution,9
1588,reference,9
1589,derived,9
1590,apply,9
1591,standard,9
1592,expedient,9
1593,resist,9
1594,abandon,9
1595,easily,9
1596,choose,9
1597,seemed,9
1598,canal,9
1599,avail,9
1600,count,9
1601,ambition,9
1602,candid,9
1603,improve,9
1604,verdict,9
1605,element,9
1606,third,9
1607,diplomacy,9
1608,limitation,9
1609,races,9
1610,prayers,9
1611,suitable,9
1612,surest,9
1613,putting,9
1614,meantime,9
1615,passions,8
1616,neutrality,8
1617,armaments,8
1618,helpful,8
1619,heavy,8
1620,perfection,8
1621,deem,8
1622,fraternal,8
1623,agency,8
1624,lose,8
1625,urged,8
1626,materials,8
1627,lift,8
1628,assist,8
1629,compassion,8
1630,solicitude,8
1631,insist,8
1632,rely,8
1633,account,8
1634,slightest,8
1635,dear,8
1636,else,8
1637,supply,8
1638,ignorant,8
1639,improvements,8
1640,successfully,8
1641,prompt,8
1642,fallen,8
1643,conformity,8
1644,recommended,8
1645,calls,8
1646,heads,8
1647,conflicting,8
1648,fears,8
1649,regular,8
1650,honored,8
1651,resort,8
1652,illustrious,8
1653,served,8
1654,entertain,8
1655,remedies,8
1656,railroads,8
1657,exclusively,8
1658,aim,8
1659,platform,8
1660,insure,8
1661,arisen,8
1662,counsels,8
1663,intention,8
1664,attain,8
1665,beneficial,8
1666,she,8
1667,tolerance,8
1668,banking,8
1669,goodness,8
1670,excitement,8
1671,opening,8
1672,retreat,8
1673,alliances,8
1674,issues,8
1675,anxious,8
1676,possessions,8
1677,fearless,8
1678,disaster,8
1679,knew,8
1680,taught,8
1681,strongest,8
1682,farm,8
1683,fortunate,8
1684,collected,8
1685,achieved,8
1686,rise,8
1687,terror,8
1688,fidelity,8
1689,prevail,8
1690,reverence,8
1691,remove,8
1692,mindful,8
1693,acting,8
1694,advancing,8
1695,charge,8
1696,destructive,8
1697,furnish,8
1698,repeat,8
1699,child,8
1700,sword,8
1701,deficit,8
1702,career,8
1703,laid,8
1704,determine,8
1705,behind,8
1706,historic,8
1707,pure,8
1708,restored,8
1709,similar,8
1710,inspire,8
1711,submitted,8
1712,capable,8
1713,swift,8
1714,principal,8
1715,disease,8
1716,lesson,8
1717,speaker,8
1718,satisfactory,8
1719,convenience,8
1720,presented,8
1721,undertake,8
1722,disturbed,8
1723,yield,8
1724,told,8
1725,altogether,8
1726,consequence,8
1727,teach,8
1728,executed,8
1729,holds,8
1730,speaks,8
1731,merit,8
1732,idealism,8
1733,negotiation,8
1734,exact,8
1735,americaÂ¡Â_s,8
1736,abiding,8
1737,appropriate,8
1738,recommendations,8
1739,three,8
1740,observance,8
1741,assembly,8
1742,expense,8
1743,season,8
1744,enabled,8
1745,stop,8
1746,preparation,8
1747,patriot,8
1748,rightful,8
1749,dominions,8
1750,benign,8
1751,accord,8
1752,render,8
1753,neglect,8
1754,dollar,8
1755,approach,8
1756,entered,8
1757,neighbor,8
1758,penalties,8
1759,areas,8
1760,guarantees,8
1761,group,8
1762,speaking,8
1763,line,8
1764,ultimately,8
1765,dont,8
1766,applied,8
1767,evidence,8
1768,remembered,8
1769,mercy,8
1770,trying,8
1771,reasons,8
1772,demanded,8
1773,indian,8
1774,impressed,8
1775,governmental,8
1776,soul,8
1777,scheme,8
1778,continuing,8
1779,vote,8
1780,available,8
1781,quarter,8
1782,incident,8
1783,administrations,8
1784,despair,8
1785,renewal,8
1786,thousand,8
1787,soldiers,8
1788,affection,8
1789,forced,8
1790,fruitful,8
1791,reward,8
1792,sole,8
1793,disputes,8
1794,mountains,8
1795,spiritual,8
1796,dissolution,8
1797,fight,8
1798,involves,7
1799,oppression,7
1800,accomplishment,7
1801,deeper,7
1802,purity,7
1803,retirement,7
1804,engage,7
1805,constituents,7
1806,humility,7
1807,forefathers,7
1808,strangers,7
1809,unimpaired,7
1810,opened,7
1811,boldly,7
1812,regarded,7
1813,rendered,7
1814,righteousness,7
1815,convinced,7
1816,suspicion,7
1817,brave,7
1818,reduced,7
1819,perfectly,7
1820,commencement,7
